condition	sample
lung	ERR030879
kidney	ERR030893
kidney	ERR030885
thyroid	ERR030903
thyroid	ERR030872
lymph_node	ERR030897
lymph_node	ERR030878
testes	ERR030902
testes	ERR030873
adipose	ERR030888
adipose	ERR030880
liver	ERR030895
liver	ERR030887
ovary	ERR030901
ovary	ERR030874
