event	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	geneName	lengthDiff	label
MmuEX0020510	chr8	-	111192728	111197592	111192462	111192711	Glg1	16	
MmuEX0037749	chr14	-	66158073	66158383	66157108	66158047	Ptk2b	25	nd
MmuEX1019919	chr2	+	92184353	92195563	92195567	92214048	Phf21a	3	nd
MmuEX6010858	chr7	-	46225435	46225542	46225242	46225409	Ush1c	25	
MmuEX1010932	chr16	+	70561142	70563157	70563162	70568988	Gbe1	4	nd
MmuEX1018537	chr9	+	121731566	121740555	121740566	121741121	Nktr	10	nd
MmuEX1022979	chr1	+	87840848	87844868	87844878	87844914	Sag	9	nd
MmuEX6002882	chr6	+	7555737	7557719	7557744	7559098	Tac1	24	nd
MmuEX1022963	chr9	+	123547059	123548314	123548330	123548861	Sacm1l	15	nd
MmuEX0003745	chr5	-	8107020	8111894	8095181	8107001	Adam22	18	hi
MmuEX1004628	chr9	-	53501274	53502944	53501003	53501261	Atm	12	nd
MmuEX1010053	chr17	-	26229854	26244005	26226024	26229844	Fam234a	9	nd
MmuEX1001750	chr7	+	69498716	69498826	69498850	69499296	4930402F11Rik	23	
MmuEX0000458	chr10	-	43526655	43530597	43525409	43526645	1700021F05Rik	9	nd
MmuEX1005745	chr13	-	24017676	24019563	24013461	24017654	Carmil1	21	
MmuEX1027739	chr8	+	40541094	40542351	40542355	40543809	Vps37a	3	nd
MmuEX0041673	chr9	+	80093642	80098885	80098907	80103693	Senp6	21	hi
MmuEX1015860	chr7	-	63920819	63924669	63891798	63920815	Klf13	3	nd
MmuEX6104373	chr2	-	121378911	121378996	121378020	121378885	Strc	25	
MmuEX1024090	chr6	+	114162174	114179292	114179297	114194610	Slc6a11	4	nd
MmuEX0004901	chr3	-	127052250	127052687	127048281	127052225	Ank2	24	hi
MmuEX1027548	chr3	-	122949998	122951170	122949857	122949974	Usp53	23	nd
MmuEX1010765	chr7	-	31053685	31053892	31053475	31053678	Fxyd1	6	nd
MmuEX1014298	chr2	-	44919143	44927141	44860327	44919139	Gtdc1	3	nd
MmuEX1011741	chr2	-	154736319	154738368	154733582	154736315	Gm14216	3	nd
MmuEX1029359	chr10	-	39675372	39731737	39639745	39675367	E130307A14Rik	4	nd
MmuEX1015357	chr11	+	53776054	53776155	53776164	53777371	Irf1	8	nd
MmuEX1004396	chr3	+	95460422	95465625	95465638	95470203	Arnt	12	
MmuEX0044723	chr2	+	30013839	30014157	30014173	30015588	Sptan1	15	hi
MmuEX0019077	chr14	-	45462736	45463245	45462241	45462714	Fermt2	21	nd
MmuEX6039614	chr14	-	13264027	13271315	13263743	13264009	Gm5087	17	
MmuEX1020936	chr2	-	53175155	53176385	53175033	53175143	Prpf40a	11	nd
MmuEX1018498	chr4	-	135494801	135494990	135491283	135494722	Nipal3	6	
MmuEX6066150	chr9	+	57118172	57118227	57118243	57119092	Sin3a	15	nd
MmuEX6080948	chr12	+	51723049	51730887	51730900	51738552	Ap4s1	12	nd
MmuEX1019709	chr3	-	142313064	142314405	142312542	142313038	Pdlim5	25	
MmuEX0032308	chr12	+	44594202	44597781	44597794	44598349	Nrcam	12	hi
MmuEX1028774	chr2	+	119211544	119211629	119211636	119211905	Zfyve19	6	nd
MmuEX1006605	chr8	-	93120639	93123099	93120373	93120611	Ces1c	27	
MmuEX0033773	chr9	+	35669735	35669878	35669903	35670478	Pate2	24	
MmuEX0041241	chr4	+	120453307	120453751	120453776	120462012	Scmh1	24	nd
MmuEX1015356	chr9	+	54900573	54901948	54901958	54903179	Ireb2	9	nd
MmuEX1008225	chr10	+	127267483	127270483	127270493	127274713	Dctn2	9	hi
MmuEX1016811	chr11	+	104321433	104322117	104322121	104322427	Mapt	3	nd
MmuEX1021362	chr10	+	127476699	127478089	127478096	127483975	R3hdm2	6	nd
MmuEX6084604	chr11	+	32371599	32397065	32397092	32411456	Sh3pxd2b	26	nd
MmuEX1014017	chr3	+	88869844	88879298	88879312	88880059	Gon4l	13	
MmuEX0046161	chrX	+	101590590	101590733	101590740	101593939	Taf1	6	hi
MmuEX1011206	chr18	+	44203543	44203817	44203831	44204573	Gm10542	13	
MmuEX0035018	chr7	+	90191754	90194272	90194297	90195654	Picalm	24	nd
MmuEX0014079	chr2	+	167028011	167028277	167028291	167028324	Ddx27	13	
MmuEX1003805	chr3	-	126947897	126950734	126940147	126947891	Ank2	5	nd
MmuEX0025103	chr8	-	70846773	70848174	70846565	70846763	Kcnn1	9	hi
MmuEX6058069	chr13	+	41114428	41124020	41124046	41129425	Sycp2l	25	
MmuEX6066649	chr9	+	64911783	64911886	64911914	64912353	Dennd4a	27	nd
MmuEX0001861	chr6	-	146561618	146561728	146560211	146561593	Ints13	24	ot
MmuEX1024654	chr17	+	71569189	71577993	71578017	71578101	Spdya	23	
MmuEX6076533	chr17	-	29839573	29839804	29838590	29839548	Mdga1	24	nd
MmuEX1026545	chr10	-	31336858	31346610	31332970	31336850	Tpd52l1	7	nd
MmuEX1021380	chr12	-	4553176	4553690	4552746	4553157	RP23-118L13.5	18	
MmuEX0022603	chr12	-	51912232	51914973	51910094	51912204	Heatr5a	27	ot
MmuEX1003102	chrX	+	155269754	155270983	155271011	155271951	Acot9	27	
MmuEX1018793	chr4	+	109056649	109057969	109057985	109058258	Nrd1	15	nd
MmuEX1005059	chr12	-	54946207	54946801	54944065	54946203	Baz1a	3	nd
MmuEX0007715	chr2	-	59933439	59933670	59932171	59933411	Baz2b	27	hi
MmuEX1024713	chr2	+	164715475	164715478	164715485	164716990	Spint5	6	
MmuEX0013978	chr9	+	7203556	7206072	7206082	7206719	Dcun1d5	9	nd
MmuEX0002119	chr18	-	12074644	12083991	12070132	12074617	Tmem241	26	nd
MmuEX6085224	chr11	+	51574201	51574431	51574459	51577073	Col23a1	27	nd
MmuEX1004354	chr9	-	108609800	108609896	108608754	108609786	Arih2	13	
MmuEX0037287	chr5	-	44001294	44001785	44000846	44001269	Prom1	24	nd
MmuEX1006908	chr3	+	108663632	108664766	108664770	108667962	Clcc1	3	nd
MmuEX0047441	chr9	+	61402058	61403451	61403469	61407353	Tle3	17	nd
MmuEX1016211	chr15	+	7179013	7179833	7179837	7181852	Lifr	3	nd
MmuEX1011068	chr5	-	114753017	114753278	114752328	114753010	Git2	6	nd
MmuEX0011515	chr9	+	113858605	113860119	113860138	113862185	Clasp2	18	hi
MmuEX1019198	chr9	+	28903367	28904270	28904298	28920086	Opcml	27	
MmuEX6041031	chr14	+	47298406	47308566	47308589	47310414	Mapk1ip1l	22	nd
MmuEX7004003	chr7	+	84751462	84764874	84764901	84765874	2610206C17Rik	26	
MmuEX1025120	chr2	+	174077190	174085054	174085061	174090620	Stx16	6	nd
MmuEX6009900	chr7	-	30728109	30728204	30727904	30728081	Tmem147	27	
MmuEX0045090	chr1	+	6795577	6802163	6802167	6802319	St18	3	nd
MmuEX1024875	chr2	+	69867380	69868623	69868628	69868778	Ssb	4	nd
MmuEX0009830	chr16	+	36072138	36082690	36082703	36085016	Ccdc58	12	nd
MmuEX1016585	chr7	+	119895891	119910165	119910181	119914172	Lyrm1	15	nd
MmuEX1005095	chr16	-	50222015	50223249	50220594	50222011	Bbx	3	nd
MmuEX1014433	chr3	-	131248437	131249802	131245287	131248427	Hadh	9	
MmuEX1027840	chr6	+	116255169	116255580	116255587	116256226	Washc2	6	nd
MmuEX1004098	chr2	-	150604522	150608387	150600361	150604517	Apmap	4	nd
MmuEX1005620	chr6	-	23344592	23355823	23344364	23344582	Cadps2	9	nd
MmuEX1007951	chr4	+	115565155	115565670	115565686	115566479	Cyp4a31	15	
MmuEX1006932	chr16	+	10571600	10571668	10571675	10573299	Clec16a	6	nd
MmuEX1002785	chr16	-	5217160	5217797	5216860	5217155	AU021092	4	nd
MmuEX0005343	chr11	-	54987069	54991390	54986216	54987050	Anxa6	18	hi
MmuEX6063138	chr16	-	77598388	77602042	77588601	77598366	Gm11146	21	
MmuEX0032179	chr7	+	30481501	30481641	30481667	30481740	Nphs1	25	
MmuEX0047442	chr19	-	14516376	14517771	14468272	14516358	Tle4	17	nd
MmuEX1016142	chr14	+	75208563	75210082	75210110	75210438	Lcp1	27	
MmuEX0005012	chr5	+	114786810	114787915	114787919	114789307	Ankrd13a	3	nd
MmuEX0010192	chr2	-	60255098	60257032	60252492	60255070	Cd302	27	nd
MmuEX0043222	chr11	-	120108491	120109431	120106611	120108466	Slc38a10	24	hi
MmuEX0038009	chr6	+	23022285	23024713	23024735	23024944	Ptprz1	21	ot
MmuEX1015044	chr5	-	77391447	77401486	77355672	77391443	Igfbp7	3	nd
MmuEX7019575	chr7	-	81855638	81855696	81855611	81855612	Gm10160	25	
MmuEX0030172	chr8	+	110727552	110727828	110727838	110728727	Mtss1l	9	ot
MmuEX6106122	chr2	-	154554926	154555583	154554745	154554899	Necab3	26	nd
MmuEX1018145	chr18	+	62995093	62995202	62995226	62996816	Napg	23	
MmuEX7034077	chr7	-	127889758	127890858	127889642	127889736	Prss53	21	nd
MmuEX0025174	chr1	+	140574858	140578454	140578476	140584018	Kcnt2	21	lo
MmuEX1028139	chr16	+	20193827	20194635	20194661	20195023	Yeats2	25	nd
MmuEX6014684	chr7	+	131335625	131336141	131336151	131336498	Fam24a	9	
MmuEX0021285	chr1	+	75440543	75441159	75441175	75441474	Gmppa	15	nd
MmuEX7008169	chr17	+	34355337	34363016	34363038	34368642	Btnl2	21	
MmuEX1008900	chr19	-	5904965	5905388	5904547	5904955	Dpf2	9	nd
MmuEX0049925	chr17	-	28353595	28353682	28352003	28353585	Tulp1	9	nd
MmuEX1019584	chr12	+	81933716	81935027	81935032	81946930	Pcnx	4	nd
MmuEX6082362	chr12	-	91833223	91841637	91831675	91833054	Sel1l	18	nd
MmuEX1004803	chr7	-	25762068	25763283	25761565	25762053	Axl	14	
MmuEX1005098	chrX	-	73706394	73706996	73689683	73706390	Bcap31	3	nd
MmuEX0008292	chr17	+	28807400	28808492	28808517	28810512	Brpf3	24	ot
MmuEX6049332	chr10	-	77076175	77077158	77074482	77076147	Col18a1	27	nd
MmuEX1025558	chr14	-	101461428	101462874	101458894	101461424	Tbc1d4	3	hi
