event,chrom,strand,upIntStart,upIntEnd,dnIntStart,dnIntEnd,geneName,lengthDiff,label,group,wt_neural_high_pred,ME,geneID,mes3,mes5,conservation,neural_high_pred
HsaEX1026190,chr2,-,50925952,51027501,50623615,50925937,NRXN1,15,hi,known_mic,0.99895585,,,,,,
HsaEX0072462,chrX,-,75505847,75522888,75478985,75505820,ZDHHC15,27,hi,known_mic,0.999356,,,,,,
HsaEX0063881,chr12,+,64786045,64787359,64787381,64827834,TBC1D30,22,hi,known_mic,0.9971506,,,,,,
HsaEX0040386,chr14,+,105466742,105468337,105468349,105469466,MTA1,12,hi,known_mic,0.99953187,,,,,,
HsaEX0004865,chr22,-,29329720,29330377,29328895,29329711,AP1B1,9,hi,known_mic,0.99888796,,,,,,
HsaEX0022845,chr1,-,220018146,220018448,220011056,220018125,EPRS,21,hi,known_mic,0.59899604,,,,,,
HsaEX1026952,chr13,+,28239696,28255453,28255475,28256291,PAN3,22,hi,known_mic,0.9989008,,,,,,
HsaEX0073358,chr19,-,44394540,44394951,44392466,44394519,ZNF285,21,hi,known_mic,0.0063517354,,,,,,
HsaEX0015498,chr3,-,33574496,33576168,33573354,33574472,CLASP2,24,hi,known_mic,0.6833006,,,,,,
HsaEX0004907,chrX,-,15828200,15845378,15827372,15828191,AP1S2,9,hi,known_mic,0.99962425,,,,,,
HsaEX1039321,chr7,+,23727315,23728604,23728618,23729090,STK31,14,hi,known_mic,0.1315259,,,,,,
HsaEX0045196,chr22,-,42880622,42882183,42879169,42880616,PACSIN2,6,hi,known_mic,0.99815,,,,,,
HsaEX0027358,chr10,-,116211645,116269502,116125557,116211630,GFRA1,15,hi,known_mic,0.9986656,,,,,,
HsaEX0067208,chr14,-,50982965,50983379,50982103,50982941,TRIM9,24,hi,known_mic,0.00299783,,,,,,
HsaEX0036734,chr2,+,237708630,237714258,237714276,237719522,LRRFIP1,18,hi,known_mic,0.99975723,,,,,,
HsaEX0047035,chr11,-,45946098,45948885,45938312,45946075,PHF21A,23,hi,known_mic,0.9998336,,,,,,
HsaEX0020578,chr3,+,51330223,51333000,51333027,51333157,DOCK3,27,hi,known_mic,0.90436155,,,,,,
HsaEX0058620,chr5,-,1056596,1057470,1053482,1056581,SLC12A7,15,hi,known_mic,0.09079176,,,,,,
HsaEX0014192,chr10,+,71617393,71643860,71643866,71645830,CDH23,6,hi,known_mic,0.9977215,,,,,,
HsaEX0039034,chr2,+,190497719,190499831,190499856,190500014,MFSD6,25,hi,known_mic,0.99958247,,,,,,
HsaEX0039996,chr10,-,28111120,28119650,28089841,28111108,MPP7,12,hi,known_mic,0.9994336,,,,,,
HsaEX0012113,chr3,-,62498154,62499161,62492446,62498145,CADPS,9,hi,known_mic,0.70799273,,,,,,
HsaEX0066981,chr6,-,123269866,123271138,123267751,123269848,TRDN,18,hi,known_mic,0.9980572,,,,,,
HsaEX0015276,chr12,+,101717394,101719489,101719516,101720122,CHPT1,27,hi,known_mic,0.9994795,,,,,,
HsaEX0020438,chr9,+,128239779,128239984,128239996,128242231,DNM1,12,hi,known_mic,0.9966629,,,,,,
HsaEX0029786,chr10,-,67959136,67966682,67956976,67959112,HERC4,24,hi,known_mic,0.99968255,,,,,,
HsaEX0003019,chr2,+,235717644,235718380,235718392,235740962,AGAP1,12,hi,known_mic,0.99981517,,,,,,
HsaEX1019114,chr7,-,152168589,152169185,152167378,152168566,KMT2C,23,hi,known_mic,0.41116568,,,,,,
HsaEX0027793,chr2,+,219504213,219504853,219504868,219505227,GMPPA,15,hi,known_mic,0.99975604,,,,,,
HsaEX0043771,chr7,-,108237769,108239958,108234688,108237751,NRCAM,18,hi,known_mic,0.9643733,,,,,,
HsaEX0050530,chr5,+,139822784,139823312,139823315,139833701,PSD2,3,hi,known_mic,0.99505377,,,,,,
HsaEX0026113,chr9,-,129915980,129923843,129908999,129915965,FNBP1,15,hi,known_mic,0.99672,,,,,,
HsaEX0004128,chr4,+,113237172,113237598,113237622,113240484,ANK2,24,hi,known_mic,0.9996631,,,,,,
HsaEX0023183,chr1,+,6449091,6450443,6450470,6451602,ESPN,27,hi,known_mic,0.7241068,,,,,,
HsaEX0049642,chr7,+,95286325,95287109,95287133,95288535,PPP1R9A,24,hi,known_mic,0.99114496,,,,,,
HsaEX0034593,chr5,-,132706459,132710958,132703619,132706450,KIF3A,9,hi,known_mic,0.117258996,,,,,,
HsaEX0044629,chrX,-,124563772,124565374,124561817,124563748,TENM1,24,hi,known_mic,0.99921525,,,,,,
HsaEX0066962,chr8,-,140426641,140435111,140405698,140426614,TRAPPC9,27,hi,known_mic,0.9996227,,,,,,
HsaEX0008078,chr12,+,32337706,32353091,32353100,32367669,BICD1,9,hi,known_mic,0.99931955,,,,,,
HsaEX0041235,chr6,+,75844977,75846967,75846976,75848350,MYO6,9,hi,known_mic,0.99979097,,,,,,
HsaEX0044634,chr5,+,168204621,168211733,168211754,168215039,TENM2,21,hi,known_mic,0.99060565,,,,,,
HsaEX0021813,chr5,+,38438455,38445678,38445702,38448300,EGFLAM,24,hi,known_mic,0.3458549,,,,,,
HsaEX0051939,chr1,+,46267609,46268565,46268588,46270658,RAD54L,23,hi,known_mic,0.83085227,,,,,,
HsaEX0026454,chr13,+,32278548,32287866,32287884,32289632,FRY,18,hi,known_mic,0.99960786,,,,,,
HsaEX0035104,chrX,-,153863379,153863476,153862894,153863367,L1CAM,12,hi,known_mic,0.99992883,,,,,,
HsaEX0030349,chr8,+,42997637,43000270,43000276,43002106,HOOK3,6,hi,known_mic,0.9997384,,,,,,
HsaEX0049565,chr1,+,202496822,202558876,202558893,202562777,PPP1R12B,17,hi,known_mic,0.9962508,,,,,,
HsaEX0055468,chr16,-,53659226,53664869,53658878,53659214,RPGRIP1L,12,hi,known_mic,0.9990398,,,,,,
HsaEX0024131,chr11,-,73425048,73430689,73419999,73425021,FAM168A,27,hi,known_mic,0.9996152,,,,,,
HsaEX0012064,chr12,+,48824733,48824948,48824968,48825162,CACNB3,20,hi,known_mic,0.9997633,,,,,,
HsaEX0022977,chr12,+,1190052,1204500,1204512,1236768,ERC1,12,hi,known_mic,0.999311,,,,,,
HsaEX1027111,chr1,+,61827583,61833357,61833377,61833653,PATJ,20,hi,known_mic,0.6740764,,,,,,
HsaEX0012052,chr17,-,39185150,39186495,39184864,39185130,CACNB1,20,hi,known_mic,0.9996257,,,,,,
HsaEX0050846,chr8,-,140669735,140674297,140668424,140669726,PTK2,9,hi,known_mic,0.9996214,,,,,,
HsaEX1003760,chr9,-,38597568,38601130,38596403,38597544,ANKRD18A,24,hi,known_mic,0.0001878105,,,,,,
HsaEX1009408,chr13,-,110202603,110203565,110201522,110202595,COL4A1,8,hi,known_mic,0.9995943,,,,,,
HsaEX0020460,chr1,+,172308839,172323328,172323340,172379017,DNM3,12,hi,known_mic,0.9663527,,,,,,
HsaEX1043449,chr8,+,42394278,42396209,42396212,42398711,VDAC3,3,hi,known_mic,0.9995784,,,,,,
HsaEX0051231,chr1,+,29305428,29307128,29307146,29310743,PTPRU,18,hi,known_mic,0.85717267,,,,,,
HsaEX0014432,chr11,-,125999131,126001718,125997410,125999124,CDON,7,hi,known_mic,0.9989428,,,,,,
HsaEX0004866,chr22,-,29339774,29340655,29339133,29339753,AP1B1,21,hi,known_mic,0.99978954,,,,,,
HsaEX0049337,chr11,+,70365435,70365940,70365967,70372214,PPFIA1,27,hi,known_mic,0.9987147,,,,,,
HsaEX0052028,chr14,-,35542029,35549109,35539690,35542026,RALGAPA1,3,hi,known_mic,0.9949536,,,,,,
HsaEX0033219,chr1,+,23059167,23066059,23066071,23068538,KDM1A,12,hi,known_mic,0.204742,,,,,,
HsaEX0038702,chr5,-,88730234,88731728,88729347,88730210,MEF2C,24,hi,known_mic,0.95892435,,,,,,
HsaEX0041755,chr11,+,20080209,20082591,20082600,20083006,NAV2,9,hi,known_mic,0.9992126,,,,,,
HsaEX0021304,chr11,+,103236539,103241526,103241547,103243692,DYNC2H1,21,hi,known_mic,0.9987362,,,,,,
HsaEX0030341,chr19,-,12765834,12765926,12765724,12765828,HOOK2,6,hi,known_mic,0.9996344,,,,,,
HsaEX0026020,chr1,+,240178068,240180168,240180180,240188206,FMN2,12,hi,known_mic,0.35155374,,,,,,
HsaEX0004754,chr5,-,151110644,151117126,151109846,151110626,ANXA6,18,hi,known_mic,0.9991704,,,,,,
HsaEX0037092,chr15,-,99731198,99731357,99729731,99731172,LYSMD4,26,hi,known_mic,0.9990515,,,,,,
HsaEX0000641,chr10,-,26771089,26777064,26770345,26771074,ABI1,15,hi,known_mic,0.998838,,,,,,
HsaEX0049757,chr8,+,22528577,22531301,22531328,22532224,PPP3CC,27,hi,known_mic,0.99886036,,,,,,
HsaEX0012013,chr7,-,81983334,81984634,81982627,81983313,CACNA2D1,21,hi,known_mic,0.80525357,,,,,,
HsaEX0022280,chr1,-,19234188,19235129,19233426,19234179,EMC1,9,hi,known_mic,0.9659759,,,,,,
HsaEX1042716,chr4,-,102815992,102868714,102809855,102815985,UBE2D3,7,hi,known_mic,0.9973859,,,,,,
HsaEX0060965,chr10,-,95422216,95432447,95422073,95422189,SORBS1,27,hi,known_mic,0.99950397,,,,,,
HsaEX0039104,chr17,+,76932775,76933291,76933297,76937987,MGAT5B,6,hi,known_mic,0.99983895,,,,,,
HsaEX0012502,chr12,-,25190631,25195075,25161197,25190613,CASC1,18,hi,known_mic,0.9988225,,,,,,
HsaEX0025270,chr8,+,463150,467719,467746,468714,FBXO25,27,hi,known_mic,0.99977666,,,,,,
HsaEX0033112,chr6,+,73120577,73124485,73124512,73133420,KCNQ5,27,hi,known_mic,0.9994691,,,,,,
HsaEX0048789,chr12,-,89460038,89466769,89459718,89460015,POC1B,23,hi,known_mic,0.9994485,,,,,,
HsaEX0070740,chr10,+,112527164,112533529,112533550,112538245,VTI1A,21,hi,known_mic,0.9993781,,,,,,
HsaEX0007086,chr1,+,154337544,154340536,154340543,154340853,ATP8B2,7,hi,known_mic,0.9666461,,,,,,
HsaEX0012138,chr7,-,122436380,122438340,122416164,122436359,CADPS2,21,hi,known_mic,0.47673494,,,,,,
HsaEX0035536,chr13,-,46148808,46150935,46148447,46148781,LCP1,27,hi,known_mic,0.9987186,,,,,,
HsaEX0053462,chr17,+,32266300,32267901,32267925,32284658,RHBDL3,24,hi,known_mic,0.9995016,,,,,,
HsaEX0066242,chr3,-,171107206,171108064,171101633,171107182,TNIK,24,hi,known_mic,0.96553737,,,,,,
HsaEX0052288,chr5,-,131450046,131453053,131446703,131450022,RAPGEF6,24,hi,known_mic,0.99423355,,,,,,
HsaEX0026448,chr13,+,32254394,32257963,32257972,32261615,FRY,9,hi,known_mic,0.9993017,,,,,,
HsaEX0069169,chr13,-,95993941,95996062,95990073,95993926,UGGT2,15,hi,known_mic,0.9985031,,,,,,
HsaEX0061917,chr6,-,7295102,7295391,7289931,7295087,SSR1,15,hi,known_mic,0.9989767,,,,,,
HsaEX0035450,chr2,+,168765748,168766321,168766345,168769509,CERS6,24,hi,known_mic,0.9993088,,,,,,
HsaEX0017556,chr5,+,123604830,123605338,123605362,123614341,CSNK1G3,24,hi,known_mic,0.92327195,,,,,,
HsaEX0051168,chr6,-,127995266,127995461,127992709,127995248,PTPRK,18,hi,known_mic,0.9999429,,,,,,
HsaEX1044192,chr16,-,28154612,28156073,28152785,28154587,XPO6,25,hi,known_mic,0.99902344,,,,,,
HsaEX0050522,chr10,-,71823893,71825836,71822007,71823887,PSAP,6,hi,known_mic,0.99921,,,,,,
HsaEX0058272,chr11,+,117186636,117186989,117187001,117187377,SIDT2,12,hi,known_mic,0.9977958,,,,,,
HsaEX0058885,chr6,-,3284959,3285078,3283975,3284935,SLC22A23,24,hi,known_mic,0.99941564,,,,,,
HsaEX0036662,chr16,+,84159796,84162189,84162215,84165782,DNAAF1,26,hi,known_mic,0.9953974,,,,,,
HsaEX7009188,chr17,+,7654684,7655235,7655256,7655526,ATP1B2,21,hi,known_mic,0.99935955,,,,,,
HsaEX0058256,chr3,+,113612194,113615062,113615077,113616099,SIDT1,15,hi,known_mic,0.92570335,,,,,,
HsaEX0022988,chr3,-,55985988,55992056,55950560,55985976,ERC2,12,hi,known_mic,0.0739671,,,,,,
HsaEX0017665,chr19,+,17989843,17993053,17993062,17993489,KCNN1,9,hi,known_mic,0.99811506,,,,,,
HsaEX0061500,chr4,-,167062650,167233984,167062537,167062641,SPOCK3,9,hi,known_mic,0.99973315,,,,,,
HsaEX0028506,chr11,+,123614835,123618344,123618356,123618692,GRAMD1B,12,hi,known_mic,0.9991979,,,,,,
HsaEX0018232,chr16,+,50754424,50775165,50775174,50776178,CYLD,9,hi,known_mic,0.9973627,,,,,,
HsaEX0053754,chr1,-,155904610,155904730,155904502,155904602,RIT1,8,hi,known_mic,0.036884625,,,,,,
HsaEX0007397,chr19,+,41239314,41239693,41239720,41242882,AXL,27,hi,known_mic,0.99892247,,,,,,
HsaEX1018360,chr2,-,162421615,162423335,162400441,162421612,KCNH7,3,hi,known_mic,0.9950912,,,,,,
HsaEX0058023,chr1,+,86724405,86730087,86730111,86734601,SH3GLB1,24,hi,known_mic,0.30658466,,,,,,
HsaEX0036252,chr4,+,61998265,62028854,62028881,62031441,ADGRL3,27,hi,known_mic,0.9992481,,,,,,
HsaEX6016302,chr2,-,162512674,162517729,162504657,162512653,KCNH7,21,hi,known_mic,0.9997049,,,,,,
HsaEX0001804,chr3,-,195325455,195326884,195320813,195325443,ACAP2,12,hi,known_mic,0.25490198,,,,,,
HsaEX0025769,chr16,-,67236434,67236556,67236069,67236410,FHOD1,24,hi,known_mic,0.9996525,,,,,,
HsaEX0066667,chr20,+,63882820,63886015,63886042,63887563,TPD52L2,27,hi,known_mic,0.99983764,,,,,,
HsaEX0055952,chr17,+,42981074,42985650,42985656,42987255,RUNDC1,6,hi,known_mic,0.99967515,,,,,,
HsaEX0041434,chr13,-,32538684,32538749,32537027,32538682,N4BP2L2,2,hi,known_mic,0.9964567,,,,,,
HsaEX0051112,chr9,-,8527353,8528590,8526644,8527344,PTPRD,9,hi,known_mic,0.3402462,,,,,,
HsaEX0013936,chrX,-,150771822,150776173,150770369,150771804,CD99L2,18,hi,known_mic,0.99684334,,,,,,
HsaEX1037512,chr4,-,102285973,102304316,102268079,102285948,SLC39A8,25,hi,known_mic,0.9359461,,,,,,
HsaEX1041860,chr18,-,31891719,31897785,31890866,31891698,TRAPPC8,21,hi,known_mic,0.99824774,,,,,,
HsaEX0045907,chr7,-,82835693,82838217,82827966,82835666,PCLO,27,hi,known_mic,0.029799117,,,,,,
HsaEX0015666,chr12,-,122276444,122278153,122274162,122276438,CLIP1,6,hi,known_mic,0.99831307,,,,,,
HsaEX0061491,chr5,-,137273384,137313427,137267055,137273375,SPOCK1,9,hi,known_mic,0.01185388,,,,,,
HsaEX0043865,chr11,-,64653722,64660331,64652154,64653695,NRXN2,27,hi,known_mic,0.9991666,,,,,,
HsaEX0051111,chr9,-,8523524,8524924,8521546,8523512,PTPRD,12,hi,known_mic,0.95233226,,,,,,
HsaEX1036741,chr1,+,66643719,66660512,66660524,66670994,SGIP1,12,hi,known_mic,0.63883924,,,,,,
HsaEX0005873,chr3,+,97791826,97791952,97791965,97798023,ARL6,13,hi,known_mic,0.9724451,,,,,,
HsaEX6003982,chr11,-,78778628,78786897,78771138,78778601,TENM4,27,hi,known_mic,0.99887425,,,,,,
HsaEX0063412,chrX,+,71454857,71455006,71455012,71458240,TAF1,6,hi,known_mic,0.9977963,,,,,,
HsaEX0070259,chr9,-,133810205,133812113,133809138,133810190,VAV2,15,hi,known_mic,0.42247087,,,,,,
HsaEX0039245,chr10,-,72509403,72533745,72508269,72509397,MICU1,6,hi,known_mic,0.998212,,,,,,
HsaEX0012114,chr3,-,62544859,62549902,62536581,62544847,CADPS,12,hi,known_mic,0.15409286,,,,,,
HsaEX0016244,chr1,-,102979612,102984137,102979435,102979596,COL11A1,16,hi,known_mic,0.050106633,,,,,,
HsaEX0020538,chr2,-,224784742,224787021,224778284,224784736,DOCK10,6,hi,known_mic,0.99924904,,,,,,
HsaEX0032608,chr21,+,33799929,33802436,33802444,33810974,ITSN1,8,hi,known_mic,0.99971277,,,,,,
HsaEX0043801,chr8,+,32742733,32749560,32749584,32754371,NRG1,24,hi,known_mic,0.04410417,,,,,,
HsaEX1040144,chr13,-,75308252,75309941,75306471,75308249,TBC1D4,3,hi,known_mic,0.99877495,,,,,,
HsaEX0063155,chr6,-,152511591,152520458,152511103,152511570,SYNE1,21,hi,known_mic,0.9189481,,,,,,
HsaEX0049351,chr19,+,49146005,49146165,49146192,49148082,PPFIA3,27,hi,known_mic,0.99855024,,,,,,
HsaEX0015478,chr2,-,121444962,121447336,121430177,121444938,CLASP1,24,hi,known_mic,0.99680376,,,,,,
HsaEX0011906,chr19,-,13241526,13245181,13235730,13241520,CACNA1A,6,hi,known_mic,0.9995419,,,,,,
HsaEX0006044,chr11,-,75271724,75272894,75268959,75271700,ARRB1,24,hi,known_mic,0.99928147,,,,,,
HsaEX0025921,chrX,-,154357274,154357433,154355072,154357250,FLNA,24,hi,known_mic,0.9997433,,,,,,
HsaEX0020638,chr1,-,62487412,62488933,62477825,62487397,DOCK7,15,hi,known_mic,0.006002048,,,,,,
HsaEX6074899,chr15,+,54015886,54143017,54143040,54143619,UNC13C,23,hi,known_mic,0.9990363,,,,,,
HsaEX1046565,chr1,-,184701541,184702810,184694472,184701529,EDEM3,12,hi,known_mic,0.96406984,,,,,,
HsaEX0026468,chr4,-,48502845,48505546,48501733,48502827,FRYL,18,hi,known_mic,0.9971334,,,,,,
HsaEX0041193,chr15,-,52348826,52351253,52346461,52348817,MYO5A,9,hi,known_mic,0.9993538,,,,,,
HsaEX0052261,chr4,+,159241368,159243773,159243791,159304341,RAPGEF2,18,hi,known_mic,0.9990978,,,,,,
HsaEX0059526,chr17,-,81250093,81251492,81247058,81250069,SLC38A10,24,hi,known_mic,0.9992906,,,,,,
HsaEX0058110,chr19,-,50687040,50687581,50686812,50687016,SHANK1,24,hi,known_mic,0.99947685,,,,,,
HsaEX0018829,chr14,-,53103051,53103682,53093444,53103030,DDHD1,21,hi,known_mic,0.9990476,,,,,,
HsaEX0058115,chr11,-,70501931,70502205,70492465,70501922,SHANK2,9,hi,known_mic,0.99955636,,,,,,
HsaEX0042009,chr2,-,183024995,183037991,183023916,183024977,NCKAP1,18,hi,known_mic,0.9995565,,,,,,
HsaEX0041239,chr6,+,75908627,75911671,75911698,75914062,MYO6,27,hi,known_mic,0.9997695,,,,,,
HsaEX1042977,chr15,+,54235108,54236429,54236435,54237618,UNC13C,6,hi,known_mic,0.99824595,,,,,,
HsaEX0027514,chr12,-,109967319,109967457,109965577,109967313,GIT2,6,hi,known_mic,0.99912363,,,,,,
HsaEX0012035,chr3,+,54764351,54816852,54816870,54837158,CACNA2D3,18,hi,known_mic,0.9819099,,,,,,
HsaEX0036225,chr19,-,14167030,14170681,14163406,14167015,ADGRL1,15,hi,known_mic,0.9997081,,,,,,
HsaEX0041810,chr13,+,35164509,35168986,35168995,35171271,NBEA,9,hi,known_mic,0.9985436,,,,,,
HsaEX0043854,chr2,-,50921880,50922657,50623615,50921868,NRXN1,12,hi,known_mic,0.99816245,,,,,,
HsaEX0048140,chr1,+,2502409,2503616,2503643,2503921,PLCH2,27,hi,known_mic,0.13858114,,,,,,
HsaEX0005085,chr5,-,140561849,140562099,140561722,140561843,APBB3,6,hi,known_mic,0.8683033,,,,,,
HsaEX0013372,chr12,+,120061826,120062751,120062763,120064732,BICDL1,12,hi,known_mic,0.9984018,,,,,,
HsaEX0066655,chr8,-,80050471,80051526,80044208,80050444,TPD52,27,hi,known_mic,0.9993895,,,,,,
HsaEX0038638,chr6,-,131615341,131615906,131614238,131615323,MED23,18,hi,known_mic,0.99970776,,,,,,
HsaEX0023542,chr13,+,37003007,37003494,37003517,37004515,EXOSC8,23,hi,known_mic,0.99728537,,,,,,
HsaEX0059697,chr17,-,1586960,1590801,1586051,1586948,SLC43A2,12,hi,known_mic,0.999777,,,,,,
HsaEX0020667,chr13,-,98796213,98797114,98794748,98796205,DOCK9,8,hi,known_mic,0.99896383,,,,,,
HsaEX0019393,chr7,-,14753948,14757654,14736194,14753927,DGKB,21,hi,known_mic,0.8932449,,,,,,
HsaEX0012135,chr7,-,122480860,122490080,122474517,122480851,CADPS2,9,hi,known_mic,0.31434026,,,,,,
HsaEX0023428,chr4,+,55864386,55866871,55866892,55868335,EXOC1,21,hi,known_mic,0.9996681,,,,,,
HsaEX0031714,chr2,+,98546694,98548954,98548969,98552785,INPP4A,15,hi,known_mic,0.9956928,,,,,,
HsaEX0034483,chr17,+,5014837,5019848,5019871,5019995,KIF1C,23,hi,known_mic,0.9998416,,,,,,
HsaEX0039967,chr17,-,43816697,43818045,43816079,43816676,MPP3,21,hi,known_mic,0.98664826,,,,,,
HsaEX0071552,chr12,+,904494,906316,906343,907846,WNK1,27,hi,known_mic,0.9992119,,,,,,
HsaEX0056060,chr1,+,237742349,237743599,237743623,237756287,RYR2,24,hi,known_mic,0.25686926,,,,,,
HsaEX1027847,chr12,+,8932831,8933335,8933350,8933864,PHC1,15,hi,known_mic,0.99778014,,,,,,
HsaEX0008744,chr17,-,58320129,58320530,58319294,58320108,TSPOAP1,21,hi,known_mic,0.9992471,,,,,,
HsaEX0006155,chr8,-,130160793,130167535,130159964,130160784,ASAP1,9,hi,known_mic,0.99920887,,,,,,
HsaEX0025234,chr8,-,28429403,28447170,28428736,28429377,FBXO16,26,hi,known_mic,0.99971753,,,,,,
HsaEX0048249,chr12,+,19269885,19270187,19270205,19274515,PLEKHA5,18,hi,known_mic,0.43390772,,,,,,
HsaEX0060245,chr6,+,70791769,70797816,70797831,70798656,SMAP1,15,hi,known_mic,0.9977539,,,,,,
HsaEX0018777,chr5,-,150731906,150733367,150731489,150731885,DCTN4,21,hi,known_mic,0.91157943,,,,,,
HsaEX0060619,chr6,-,83614862,83616968,83610677,83614856,SNAP91,6,hi,known_mic,0.99923694,,,,,,
HsaEX0005072,chr4,-,40842375,40857025,40830577,40842369,APBB2,6,hi,known_mic,0.99867755,,,,,,
HsaEX0043856,chr2,-,50466487,50472297,50465561,50466460,NRXN1,27,hi,known_mic,0.9976787,,,,,,
HsaEX0014560,chr3,-,48650289,48650479,48649215,48650274,CELSR3,15,hi,known_mic,0.1627766,,,,,,
