event	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	geneName	lengthDiff	label
HsaEX1023373	chr5	-	131910418	131911814	131879049	131910411	MEIKIN	6	
HsaEX0046902	chr12	-	6965917	6966423	6965713	6965910	PHB2	6	nd
HsaEX0002759	chr16	+	50313037	50313482	50313492	50313957	ADCY7	9	nd
HsaEX0059697	chr17	-	1586961	1590801	1586052	1586948	SLC43A2	12	hi
HsaEX1027627	chr16	-	70038986	70042350	70036579	70038904	PDXDC2P	13	nd
HsaEX1013455	chr1	+	6457264	6457265	6457275	6459996	ESPN	9	nd
HsaEX1014586	chr18	+	36602769	36608727	36608749	36611951	FHOD3	21	ot
HsaEX1038482	chr4	+	7734366	7735399	7735406	7737065	SORCS2	6	
HsaEX1027110	chr1	+	62038531	62162867	62162880	62162884	PATJ	12	
HsaEX1025720	chr6	+	124355348	124437902	124437917	124658185	NKAIN2	14	nd
HsaEX1015825	chr15	-	34552271	34553744	34551277	34552267	GOLGA8B	3	nd
HsaEX1044292	chr14	+	74829344	74832144	74832168	74835264	YLPM1	23	
HsaEX1016267	chr9	+	121248324	121250085	121250091	121265153	GSN	5	
HsaEX6095879	chr19	-	47980942	47991171	47979600	47980920	BSPH1	21	
HsaEX0034400	chr8	-	29196200	29245345	29191058	29196186	KIF13B	13	nd
HsaEX1035649	chrX	-	20235514	20240568	20234815	20235492	RPS6KA3	21	
HsaEX1026665	chr3	-	31698587	31702358	31684115	31698583	OSBPL10	3	nd
HsaEX0051317	chr7	-	105496972	105502419	105495254	105496953	PUS7	18	hi
HsaEX0069107	chr20	-	63943670	63944396	63941209	63943652	UCKL1	17	nd
HsaEX1011248	chr12	-	48837038	48837280	48830516	48837025	DDX23	12	
HsaEX7000303	chr1	+	71091705	71202034	71202057	71223056	ZRANB2-AS2	22	
HsaEX1034892	chr11	+	61588616	61589750	61589774	61596892	RP11-855O10.2	23	
HsaEX1006870	chr12	-	121291251	121297538	121274586	121291247	CAMKK2	3	nd
HsaEX1011412	chr12	+	16036382	16036519	16036536	16036689	DERA	16	
HsaEX1029768	chr15	+	78540540	78541904	78541931	78542176	PSMA4	26	nd
HsaEX0063860	chr16	+	2496332	2497709	2497728	2501769	TBC1D24	18	
HsaEX1024083	chr16	-	82156068	82164081	82151515	82156064	MPHOSPH6	3	nd
HsaEX1037420	chr6	-	8428995	8429863	8428059	8428974	SLC35B3	20	nd
HsaEX1008345	chr11	+	95790744	95801388	95801392	95812931	CEP57	3	nd
HsaEX1007774	chrX	+	2738257	2739043	2739051	2740778	CD99	7	nd
HsaEX1039322	chr7	+	23729250	23738518	23738531	23752716	STK31	12	nd
HsaEX1045323	chr19	-	52001806	52001810	51994839	52001796	ZNF615	9	
HsaEX6048239	chr6	+	75670721	75675434	75675469	75675859	SENP6	24	nd
HsaEX0050943	chr3	-	123567781	123582211	123528475	123567761	HACD2	19	nd
HsaEX6091373	chr19	+	731246	734172	734195	736018	PALM	22	nd
HsaEX1014529	chr4	-	154608649	154609629	154608637	154608638	FGG	10	
HsaEX0042184	chr9	+	130172728	130200957	130200983	130217831	NCS1	25	nd
HsaEX1001403	chr4	+	145120154	145120992	145121008	145121173	ABCE1	15	
HsaEX0057686	chr20	+	43458510	43459152	43459421	43459770	SRSF6	13	ot
HsaEX1017970	chr12	+	2812857	2813789	2813793	2817222	ITFG2	3	nd
HsaEX1024264	chr9	+	135501974	135502466	135502470	135503135	MRPS2	3	nd
HsaEX6019499	chr2	-	240140089	240140268	240139355	240140061	OTOS	27	nd
HsaEX1003259	chr17	-	19960591	19962839	19958572	19960587	AKAP10	3	nd
HsaEX1014846	chr7	+	114630006	114631035	114631044	114631527	FOXP2	8	nd
HsaEX1007454	chr3	+	191370037	191377260	191377264	191380158	CCDC50	3	nd
HsaEX1006286	chr1	-	156420188	156421554	156418035	156420170	C1orf61	17	
HsaEX0005584	chr1	+	17632467	17634547	17634563	17634834	ARHGEF10L	15	nd
HsaEX1013042	chr22	+	29206140	29217204	29217208	29231019	EMID1	3	nd
HsaEX0023051	chr20	+	35548866	35554371	35554387	35555043	ERGIC3	15	hi
HsaEX0044002	chr10	-	103105382	103105705	103101327	103105357	NT5C2	24	ot
HsaEX1001693	chr19	+	56296416	56297504	56297532	56301967	AC006116.20	27	
HsaEX1043590	chr12	-	122891877	122895951	122871056	122891872	VPS37B	4	nd
HsaEX1027708	chr19	+	7630847	7631231	7631238	7631472	PET100	6	nd
HsaEX7003856	chr6	+	114371693	114406642	114406669	114423979	RP3-399L15.3	26	
HsaEX1036855	chr11	-	70950104	71092421	70942844	70950098	SHANK2	5	nd
HsaEX7011099	chr21	+	46114074	46116376	46116404	46117399	COL6A2	27	nd
HsaEX0012114	chr3	-	62544860	62549902	62536582	62544847	CADPS	12	hi
HsaEX0053014	chr11	-	65662206	65662825	65662089	65662178	RELA	27	nd
HsaEX7007815	chr13	-	89220560	89236818	89219710	89220533	LINC01047	26	
HsaEX0026520	chr4	-	161510425	161538165	161500135	161510397	FSTL5	27	ot
HsaEX0065810	chr3	+	44862117	44862357	44862361	44864196	TMEM42	3	nd
HsaEX1009303	chr10	+	69822439	69867797	69867806	69887455	COL13A1	8	nd
HsaEX1029486	chr14	-	29751174	29927256	29725675	29751165	PRKD1	8	nd
HsaEX0011215	chr6	+	139028876	139033748	139033856	139034154	ABRACL	21	
HsaEX7106791	chr12	+	100296983	100317680	100317693	100327184	SCYL2	12	nd
HsaEX0038060	chr14	-	65101573	65102303	65093816	65101545	MAX	27	nd
HsaEX1028894	chr7	-	95406367	95406986	95406248	95406363	PON2	3	nd
HsaEX0060148	chr10	-	97047997	97048954	97047835	97047972	SLIT1	24	nd
HsaEX1021947	chr13	+	75841984	75842526	75842547	75842850	LMO7	20	
HsaEX1013902	chr10	-	15370975	15371678	15284106	15370955	FAM171A1	19	
HsaEX0037837	chr15	+	41813102	41813329	41813348	41813620	MAPKBP1	18	
HsaEX6086889	chr4	+	168668369	168678037	168678049	168681331	PALLD	11	
HsaEX1030319	chr15	+	65877956	65878030	65878040	65887723	RAB11A	9	nd
HsaEX0044603	chr1	-	86356008	86356443	86355389	86355993	ODF2L	14	nd
HsaEX6029699	chr1	-	31680932	31681022	31680102	31680904	COL16A1	27	nd
HsaEX1043382	chr1	+	115682498	115683621	115683625	115683943	VANGL1	3	nd
HsaEX6035782	chr1	+	197421957	197435599	197435613	197438546	CRB1	13	
HsaEX0036506	chr6	+	25610182	25612376	25612402	25619446	CARMIL1	25	
HsaEX1009405	chr2	+	189003037	189005624	189005630	189008053	COL3A1	5	nd
HsaEX1046315	chr11	-	71118847	71118902	71113365	71118828	SHANK2	18	
HsaEX1021506	chr2	-	107511949	107528780	107416784	107511945	LINC01885	3	
HsaEX1030446	chr14	-	24266684	24266775	24266518	24266664	RABGGTA	19	
HsaEX6045949	chr6	-	24870890	24872880	24869148	24870865	FAM65B	24	nd
HsaEX1035587	chr12	+	56116800	56117188	56117212	56117481	RPL41	23	nd
HsaEX1002308	chr2	+	126899613	126899835	126899854	126899935	AC114783.1	18	
HsaEX1015037	chr19	+	35151329	35151444	35151448	35151632	FXYD7	3	
HsaEX1001372	chr13	-	95047066	95053094	95044439	95047056	ABCC4	9	nd
HsaEX1013101	chr10	-	25015868	25061111	24995870	25015859	ENKUR	8	
HsaEX1036133	chr4	-	76166175	76166249	76163384	76166168	SCARB2	6	nd
HsaEX6016054	chr2	-	152677476	152679055	152676780	152677450	PRPF40A	25	nd
HsaEX7005257	chr8	-	132163495	132170333	132141332	132163467	KCNQ3	27	nd
HsaEX0064916	chr2	+	137451025	137538488	137538495	137563220	THSD7B	6	
HsaEX1025245	chr7	-	158674742	158675476	158671667	158674738	NCAPG2	3	nd
HsaEX1007531	chr12	+	28450419	28451397	28451401	28452477	CCDC91	3	nd
HsaEX1014274	chr3	+	13609643	13611497	13611507	13613983	FBLN2	9	nd
HsaEX0039566	chr6	+	167911490	167913402	167913424	167914167	AFDN	21	nd
HsaEX7007310	chr12	+	78122429	78146368	78146393	78159202	NAV3	24	nd
HsaEX1015394	chr12	+	55749884	55752243	55752270	55757012	GDF11	26	
HsaEX0039652	chr22	+	23781410	23782157	23782161	23782225	MMP11	3	nd
HsaEX1041470	chr3	-	171102636	171107182	171101634	171102626	TNIK	9	nd
HsaEX1044319	chr22	+	31945679	31947463	31947486	31950307	YWHAH	22	hi
HsaEX1041022	chr12	-	111936064	111937159	111934031	111936048	TMEM116	15	nd
HsaEX0066313	chr1	-	201372156	201373213	201368228	201372144	TNNT2	11	lo
HsaEX1036858	chr11	-	70495855	70502205	70492466	70495848	SHANK2	6	nd
HsaEX1004242	chr1	-	161222523	161222917	161222507	161222507	APOA2	15	
HsaEX1010871	chr19	+	41201373	41201735	41201741	41203449	CYP2S1	5	nd
HsaEX1007771	chr3	+	111624405	111627800	111627805	111637195	CD96	4	
HsaEX0036967	chr12	+	6388506	6388799	6388826	6390111	LTBR	26	nd
HsaEX1044490	chrX	-	65034407	65034628	64921989	65034396	ZC4H2	10	nd
HsaEX0031098	chr13	+	20626375	20628020	20628030	20631015	IFT88	9	
HsaEX0031347	chr22	+	17104811	17105590	17105603	17105852	IL17RA	12	
HsaEX1029782	chr17	-	42574335	42577212	42574211	42574315	PSMC3IP	19	
HsaEX0039406	chr17	-	58217075	58218619	58216737	58217071	MKS1	3	nd
HsaEX0012121	chr3	-	62493666	62499161	62492447	62493644	CADPS	21	
HsaEX1012606	chr11	-	19225732	19229858	19225616	19225727	E2F8	4	
HsaEX1042844	chr3	-	196358423	196361843	196356847	196358412	UBXN7	10	nd
HsaEX1035919	chr15	+	33503739	33530272	33530285	33530591	RYR3	12	nd
HsaEX7007720	chr13	-	51947871	51949661	51946479	51947850	ATP7B	20	
HsaEX7001650	chr2	-	191058220	191058709	191058112	191058201	STAT4	18	nd
HsaEX1036668	chr17	-	28956350	28956349	28956262	28956345	SEZ6	4	nd
HsaEX1004872	chr8	-	61514194	61517527	61503510	61514190	ASPH	3	nd
HsaEX0049202	chrX	+	48512720	48514126	48514142	48514239	PORCN	15	
HsaEX0018691	chr4	+	150247700	150248304	150248329	150249567	DCLK2	24	
HsaEX1041550	chr17	+	78051449	78062610	78062617	78064721	TNRC6C	6	nd
HsaEX6027702	chr1	-	1299357	1299830	1298680	1299344	ACAP3	12	nd
HsaEX1026473	chr9	+	88535737	88538387	88538393	88539713	NXNL2	5	
HsaEX1039879	chrX	-	30862048	30867114	30859679	30862044	TAB3	3	nd
HsaEX0004620	chr11	+	70149793	70152452	70152462	70153056	ANO1	9	
HsaEX0041091	chr17	-	36515136	36515857	36514549	36515112	MYO19	23	
HsaEX1045787	chr17	+	44154665	44154748	44154766	44154852	C17orf53	17	
HsaEX6015626	chr2	-	135165155	135200353	135162628	135165142	ZRANB3	12	
HsaEX6060467	chr9	+	1051662	1052129	1052139	1053721	DMRT2	9	
HsaEX1000916	chr10	+	126497098	126497602	126497627	126500914		24	
HsaEX0070972	chr4	+	176163294	176166123	176166145	176168671	WDR17	21	hi
HsaEX1032281	chr17	-	58001513	58003650	57994949	58001488	RP11-159D12.5	24	hi
HsaEX1018758	chr1	+	180941286	180942413	180942424	180944388	KIAA1614	10	nd
HsaEX0016281	chr6	-	75138341	75138447	75137580	75138319	COL12A1	21	
HsaEX1014275	chr3	+	13636569	13637561	13637573	13638115	FBLN2	11	nd
HsaEX0028125	chr17	-	44467115	44474828	44464545	44467096	GPATCH8	18	ot
HsaEX0025778	chr18	+	36755312	36759117	36759142	36760607	FHOD3	24	
HsaEX1038362	chr8	-	81802396	81802396	81801594	81802389	SNX16	6	
HsaEX0050530	chr5	+	139822785	139823312	139823316	139833701	PSD2	3	hi
HsaEX0025237	chr10	+	5890347	5891108	5891117	5906036	FBXO18	8	nd
HsaEX6006895	chr7	+	2598633	2601440	2601465	2604880	IQCE	24	nd
HsaEX1002560	chr19	+	38647908	38718250	38718256	38723613	ACTN4	5	nd
HsaEX0014192	chr10	+	71617394	71643860	71643867	71645830	CDH23	6	hi
HsaEX1037917	chr19	+	10995544	10995914	10995927	10996212	SMARCA4	12	
HsaEX1005282	chr22	+	45693079	45696998	45697002	45700281	ATXN10	3	nd
HsaEX1043183	chr21	+	15866345	15866796	15866800	15870067	USP25	3	nd
HsaEX1033502	chr1	+	119140794	119146821	119146837	119146952	RP11-418J17.1	15	nd
HsaEX0072207	chr1	-	32634793	32650432	32634073	32634767	ZBTB8OS	25	
HsaEX1025232	chr11	+	113235165	113236300	113236316	113255876	NCAM1	15	lo
HsaEX1024634	chr9	+	126506472	126506524	126506547	126506663	MVB12B	9	
HsaEX1029732	chr1	+	151008672	151008849	151008854	151017811	PRUNE1	4	nd
HsaEX1038858	chr14	-	77595791	77597185	77579110	77595786	SPTLC2	4	nd
HsaEX1046093	chr22	+	20568632	20583112	20583134	20584358	MED15	21	
HsaEX0011366	chr6	+	169762532	169766637	169766668	169768102	ERMARD	23	nd
HsaEX0019068	chr19	-	42202073	42209699	42199830	42202050	DEDD2	22	nd
HsaEX1026779	chr12	-	31111969	31112980	31111810	31111961	OVOS2	7	nd
HsaEX0024639	chr11	-	95779136	95779606	95778958	95779077	FAM76B	27	nd
HsaEX0064801	chr1	-	155203540	155204854	155203306	155203512	THBS3	27	nd
HsaEX0033074	chr5	+	114487178	114490690	114490700	114493402	KCNN2	9	ot
HsaEX0028807	chr17	-	39906988	39908175	39906272	39906960	GSDMB	27	ot
HsaEX7103540	chr4	-	10528095	10571740	10525923	10528075	CLNK	19	
HsaEX1037518	chr14	+	69424203	69438986	69438991	69441831	SLC39A9	4	nd
HsaEX1026826	chr17	-	81859820	81860326	81859388	81859810	P4HB	9	nd
HsaEX7000608	chr1	+	161663931	161670251	161670273	161671391	FCGR2B	21	
HsaEX6001935	chr11	+	48149489	48149989	48149999	48150095	PTPRJ	9	
HsaEX1016898	chr6	-	32757305	32757772	32756467	32757280	HLA-DQB2	24	
HsaEX0027088	chr16	+	90027723	90031175	90031190	90032717	GAS8	14	ot
HsaEX6063703	chr9	+	132961637	132972724	132972747	132985067	GFI1B	22	
HsaEX0072774	chr10	+	97751463	97752856	97752878	97753037	ZFYVE27	21	hi
HsaEX0035201	chr6	+	129473353	129475389	129475402	129478692	LAMA2	12	lo
HsaEX1011869	chr3	-	57523610	57523802	57510980	57523582	DNAH12	27	
HsaEX0062678	chr20	+	58651415	58652072	58652088	58667489	STX16	15	nd
HsaEX1041750	chr13	+	45380002	45381141	45381157	45383090	TPT1-AS1	15	nd
HsaEX1005417	chr6	-	90173611	90206568	90089110	90173585	BACH2	25	
HsaEX1011480	chr11	-	71441620	71442262	71441441	71441616	DHCR7	3	nd
HsaEX1020535	chr2	+	104436120	104497677	104497688	104505865	LINC01102	10	nd
HsaEX1006065	chr12	+	48488957	48489748	48489758	48490811	C12orf54	9	
HsaEX1007877	chr11	-	65078187	65079352	65068602	65078170	CDCA5	16	
HsaEX1044731	chr6	+	28142030	28143207	28143212	28148315	ZKSCAN8	4	nd
HsaEX6086294	chr4	+	141222492	141224486	141224507	141226766	ZNF330	20	nd
HsaEX1041220	chr14	+	93185033	93185470	93185486	93186259	RP11-371E8.4	15	
HsaEX1012354	chr11	-	113413341	113415420	113412884	113413334	DRD2	6	nd
HsaEX0061189	chr17	-	50999488	50999660	50998618	50999475	SPAG9	12	
HsaEX6073790	chr15	+	40200981	40202449	40202466	40202588	BUB1B	16	
HsaEX1010714	chr7	+	101816094	101819780	101819790	101916114	CUX1	9	nd
HsaEX1046312	chr2	+	235035121	235043223	235043248	235052561	SH3BP4	24	
HsaEX1016118	chr4	+	157332987	157333090	157333118	157333248	GRIA2	27	nd
HsaEX6084659	chr4	-	69959070	69960052	69958954	69959048	CSN2	21	
HsaEX6037469	chr1	+	236539090	236542760	236542788	236543559	LGALS8	27	nd
HsaEX0052066	chr20	+	38532860	38534384	38534394	38535073	RALGAPB	9	
HsaEX1042819	chr1	-	19197026	19197140	19193558	19197003	UBR4	22	
HsaEX1035621	chr16	-	18788077	18788980	18784824	18788062	RPS15A	14	nd
HsaEX1016314	chr2	-	144279755	144332438	144235738	144279748	GTDC1	6	nd
HsaEX1044965	chrX	-	130258933	130260418	130247006	130258908	ZNF280C	24	
HsaEX1019561	chr12	+	65218620	65231152	65231157	65238501	LEMD3	4	nd
HsaEX0037759	chr14	+	55051804	55061679	55061702	55062617	MAPK1IP1L	22	nd
HsaEX0033920	chr4	+	122272406	122272522	122272549	122274342	KIAA1109	26	ot
HsaEX7104533	chr6	-	136096020	136162017	136094780	136095993	RP13-143G15.4	26	
HsaEX1041423	chr18	-	68680799	68680980	68679532	68680795	TMX3	3	nd
HsaEX6066268	chr12	-	48775699	48775962	48775451	48775672	ADCY6	26	nd
HsaEX0003322	chr4	+	106316595	106320865	106320890	106324984	AIMP1	24	nd
HsaEX1026571	chr15	+	41286101	41296803	41296807	41308566	OIP5-AS1	3	nd
HsaEX1016566	chr6	-	113964243	113968329	113962395	113964219	HDAC2	23	
HsaEX6046017	chr6	+	25972100	25973053	25973077	25973172	TRIM38	23	
HsaEX1018470	chr7	-	128889517	128890342	128889040	128889512	KCP	4	
HsaEX6030321	chr1	-	41160899	41161363	41159934	41160874	SCMH1	24	nd
HsaEX6084225	chr4	-	47879118	47884345	47878666	47879095	NFXL1	22	nd
HsaEX1043206	chr2	-	61245013	61245209	61241820	61244999	USP34	13	nd
HsaEX1013483	chr16	-	68235880	68237934	68235763	68235847	ESRP2	4	
HsaEX1002055	chr2	-	219426029	219426051	219425621	219426026	AC053503.6	2	
HsaEX6063623	chr9	+	132227022	132230571	132230596	132239103	NTNG2	24	nd
HsaEX1042042	chr2	-	229825550	229829192	229818513	229825534	TRIP12	15	nd
HsaEX6002896	chr11	+	65204859	65205709	65205722	65206462	CAPN1	12	nd
HsaEX1037925	chr2	+	216416308	216419184	216419188	216420298	SMARCAL1	3	nd
HsaEX0071000	chr14	+	102140173	102193462	102193476	102208602	WDR20	13	nd
HsaEX1019526	chr19	+	11129671	11131044	11131049	11131280	LDLR	4	nd
HsaEX0017036	chr3	+	9705502	9705717	9705721	9705984	CPNE9	3	
HsaEX1043769	chr10	+	50126180	50126663	50126676	50127582	WASHC2A	12	nd
HsaEX0022381	chr14	-	88649927	88657375	88644512	88649911	EML5	15	
HsaEX1008257	chr11	+	101981965	101982744	101982748	101992777	CEP126	3	nd
HsaEX0037158	chr1	+	39459250	39459820	39459833	39460631	MACF1	12	hi
HsaEX1005951	chr6	+	26449689	26450106	26450134	26451674	BTN3A3	27	nd
HsaEX0039778	chr12	+	62543199	62544765	62544769	62544897	MON2	3	hi
HsaEX1012244	chr11	-	119101778	119102103	119101139	119101754	DPAGT1	23	
HsaEX0053404	chr14	+	72459684	72464693	72464718	72465757	RGS6	24	lo
HsaEX0053017	chr19	+	45002995	45009811	45009823	45011935	RELB	9	
HsaEX1028895	chr7	-	95406319	95406986	95406248	95406314	PON2	4	nd
HsaEX1005583	chr12	+	122035428	122035508	122035512	122043885	BCL7A	3	nd
HsaEX1005620	chr5	+	71517453	71519479	71519486	71522288	BDP1	6	nd
HsaEX1004098	chr4	+	112254774	112257771	112257798	112260765	AP1AR	26	nd
HsaEX7011051	chr21	+	36968808	36969600	36969621	36973599	AP000704.5	20	
HsaEX1014677	chrX	-	154351155	154351580	154351042	154351139	FLNA	15	nd
HsaEX6045919	chr6	-	24433390	24436575	24433238	24433362	GPLD1	27	nd
HsaEX0061491	chr5	-	137273385	137313427	137267056	137273375	SPOCK1	9	hi
HsaEX0064997	chr19	+	39482917	39483134	39483157	39485543	TIMM50	22	nd
HsaEX1018085	chr14	-	92994166	93076594	92993998	92994157	ITPK1	8	nd
HsaEX0002318	chr7	+	88168228	88171543	88171562	88178934	ADAM22	18	nd
HsaEX0061546	chr1	-	158618057	158619221	158617589	158618038	SPTA1	18	
HsaEX1003394	chr4	+	73416354	73416572	73416576	73417530	ALB	3	lo
HsaEX0067681	chrX	-	100636208	100636607	100635747	100636190	TSPAN6	17	nd
HsaEX1043140	chr16	+	84700112	84704609	84704613	84733434	USP10	3	nd
HsaEX0006877	chr17	-	3953711	3964173	3953430	3953692	ATP2A3	18	nd
HsaEX0007654	chr1	+	171568340	171569351	171569378	171571319	PRRC2C	26	ot
HsaEX1019752	chr7	-	66490324	66491030	66490108	66490303	LINC00174	20	
HsaEX1031187	chr1	-	240797835	240801454	240776214	240797820	RGS7	14	nd
HsaEX6050982	chrX	-	19486506	19488827	19464407	19486481	MAP3K15	24	
HsaEX1038742	chr16	+	89544773	89546446	89546451	89546657	SPG7	4	nd
HsaEX1026872	chr17	+	2609569	2615870	2615874	2676313	PAFAH1B1	3	nd
HsaEX1043093	chr19	+	29986418	29991657	29991661	30005360	URI1	3	nd
HsaEX0038743	chr1	-	3493798	3494370	3492768	3493770	MEGF6	27	
HsaEX0041047	chr17	-	29116456	29118044	29115841	29116443	MYO18A	12	hi
HsaEX1004803	chr3	-	57288967	57289067	57288287	57288962	ASB14	4	
HsaEX0046090	chr17	+	55771186	55771596	55771600	55773723	PCTP	3	nd
HsaEX1030745	chr12	+	64610744	64655012	64655027	64684786	RASSF3	14	nd
HsaEX1030342	chr2	-	65129391	65129892	65104807	65129383	RAB1A	7	nd
HsaEX0048202	chr8	-	143938416	143938630	143938241	143938400	PLEC	15	hi
HsaEX1031288	chr12	-	123475388	123484179	123472683	123475363	RILPL1	24	
HsaEX0042574	chr9	-	137455635	137456410	137454444	137455628	NSMF	6	hi
HsaEX1031570	chr4	+	2497122	2511955	2511966	2512437	RNF4	10	ot
HsaEX1016217	chr17	+	44345335	44345741	44345745	44349157	GRN	3	nd
HsaEX6090290	chr10	-	104055008	104055371	104054119	104054980	COL17A1	27	
HsaEX1014450	chr2	+	96642922	96644828	96644832	96646400	FER1L5	3	
HsaEX1017683	chr6	-	76025014	76025193	76022220	76025001	IMPG1	12	
HsaEX1045708	chrX	-	109685445	109696143	109683376	109685426	ACSL4	18	
HsaEX7004720	chrX	+	67629695	67722151	67722173	67723685	AR	21	
HsaEX1029341	chr4	-	120817738	120818352	120816925	120817711	PRDM5	26	
HsaEX0035536	chr13	-	46148809	46150935	46148448	46148781	LCP1	27	hi
HsaEX1027240	chrY	+	5581799	5611406	5611413	5737271	PCDH11Y	6	lo
HsaEX1011199	chr20	-	3199913	3200000	3195354	3199909	DDRGK1	3	nd
HsaEX1003606	chr7	-	38464098	38465466	38463114	38464088	AMPH	9	nd
